ancien ordre;Port lib;Latitude;Longitude;ordre nouveau
35;Cavalaire†sur†Mer;43.17279253253656; 6.536558177521821;86
36;Les†Marines†de†Cogolin†et†Port†Grimaud;43.26544614434702; 6.5881277762088475;87
30;Saint-Tropez,†vieux†port;43.27342312677777; 6.6382698207093;88
48;Ste†Maxime;43.30629598977191; 6.639131006444342;89
31;San†Peire,†la†Garonnette;43.34545738318963; 6.7030906502956915;90
115;Fr√©jus;43.42105232882219; 6.747931714810674;91
33;Saint-Rapha√´l,†vieux†port;43.42334528706193; 6.765036708798159;92
80;Drammont,†la†Poussai;43.4144648745868; 6.8481706508263755;93
85;Agay;43.434545906843276; 6.8636169314144375;94
94;La†Figueirette;43.484132905253375; 6.934142942276052;95
77;Cannes,†Nour√©e†Rouge;43.534802447944394; 6.936961550986622;96
83;Th√©oule;43.5084832880242; 6.9388340061341;97
114;La†Rague;43.517386747146986; 6.939708265967202;98
93;Mandelieu-La†Napoule;43.52527654876287; 6.944001474924637;99
32;La†Gal√®re;43.49798198724996; 6.955356816132749;100
37;Cannes,†vieux†port;43.55020821561252; 7.014679468713283;101
45;Golfe†Juan†(Vallauris);43.565394726683586; 7.072256776239477;102
103;Juan†les†Pins;43.56200326243353; 7.11622484493295;103
26;Port†de†Crouton;43.560514416738634; 7.119258015469711;104
34;Port†Vauban;43.585557329551314; 7.127094374606244;105
25;Antibes,†tous†les†ports;43.58945813191868; 7.129230065994987;106
97;Villeneuve†Loubet;43.63430242480236; 7.1397378242254135;107
24;Cros†de†Cagnes;43.65681878664869; 7.171744077583272;108
76;Nice;43.69637898132911; 7.28513882966636;109
91;Villefranche-sur-Mer,†tous†les†ports;43.698313335248045; 7.307841764604726;110
95;Villefranche,†Port†de†la†Sant√©;43.70324501127696; 7.311873961645669;111
100;St†Jean†Cap†Ferrat;43.690195557665426; 7.333317302047908;112
87;Baulieu;43.70874341983213; 7.336725862961027;113
117;Beaulieu-sur-mer;43.709043152078586; 7.337499542897825;114
46;Menton,†vieux†port,†Garavan;43.783496103621246; 7.5147812935590546;115
112;Sagone;42.1705824467536; 8.677677672276957;116
116;NA;;;117
