SOURCE;QAM_COD;DCR_SEGMENT_CE_LIB;CLASSE_TAILLE;PORT_EXP_COD;PORT_EXP_LIB;METIER_DCF_5_COD;METIER_DCF_5_LIB;NIV_SECTEUR_COD;SECTEUR_COD;TRIMESTRE;ANNEE;RG_COD;NB_NAVIRES;EFFECTIF_NAVIRE_MOY;NAVP_JAUGE_GT_MOY;NAVP_PUISSANCE_AD_MOY;NB_MAREES;NB_MAREES_INF_95;NB_MAREES_SUP_95;JOURS_DE_MER;JOURS_DE_MER_INF_95;JOURS_DE_MER_SUP_95
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD21;4;2018;LR;11;3.36269841269841;6945.07936507936;313.666666666667;43.5833333333333;43.5833333333333;43.5833333333333;45.8333333333334;45.8333333333334;45.8333333333334
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGE;1;2018;LR;1;3;6100;221;3.08333333333333;3.08333333333333;3.08333333333333;3.08333333333333;3.08333333333333;3.08333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGE;2;2018;LR;3;3.22;4838.66666666667;316;2.16666666666667;2.16666666666667;2.16666666666667;2.16666666666667;2.16666666666667;2.16666666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGE;2;2018;LR;1;3;6100;221;0.916666666666667;0.916666666666667;0.916666666666667;0.916666666666667;0.916666666666667;0.916666666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGE;4;2018;LR;1;3;6100;221;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGE;4;2018;LR;2;3.66666666666667;8189.33333333333;316;1.33333333333333;1.33333333333333;1.33333333333333;1.33333333333333;1.33333333333333;1.33333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGO;2;2018;LR;4;3;7060.28571428571;283.285714285714;2.08333333333333;2.08333333333333;2.08333333333333;2.08333333333333;2.08333333333333;2.08333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MLGO;4;2018;LR;2;3;7530;239.666666666667;1;1;1;1;1;1
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;1;2018;LR;10;3.41150214592275;6843.91416309013;313.206008583691;91.9583333333333;91.9583333333333;91.9583333333333;94.375;94.375;94.375
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;1;2018;LR;3;3.14814814814815;5933.18518518519;316;13.1666666666667;13.1666666666667;13.1666666666667;13.1666666666667;13.1666666666667;13.1666666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;1;2018;LR;4;3;7055.39240506329;272.240506329114;37.9166666666667;37.9166666666667;37.9166666666667;37.9166666666667;37.9166666666667;37.9166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;2;2018;LR;10;3.36754901960784;6806.82352941176;313.735294117647;39.4166666666667;39.4166666666667;39.4166666666667;40.1666666666667;40.1666666666667;40.1666666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;2;2018;LR;2;3;6114.28571428571;316;3.5;3.5;3.5;3.5;3.5;3.5
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;2;2018;LR;4;3;6867.15384615385;294.230769230769;17.5;17.5;17.5;17.5;17.5;17.5
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;3;2018;LR;10;3.27046511627907;6426.07906976744;314.73023255814;89.2261904761904;89.2261904761904;89.2261904761904;91.095238095238;91.095238095238;91.095238095238
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;4;2018;LR;11;3.35684426229508;6410.34426229508;313.848360655738;102.416666666667;102.416666666667;102.416666666667;107.5;107.5;107.5
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT12;4;2018;LR;5;3;6657.91176470588;285.529411764706;32;32;32;32.75;32.75;32.75
